experiment_id,model_version,model_type,timestamp,run_notes,dataset_version,n_samples,n_features,features_used,train_start,train_end,model_params,hyperparams,bt_cagr,bt_sharpe,bt_pf,bt_max_dd,bt_win_rate,bt_sortino,bt_n_trades,cv_auc_mean,cv_auc_std,cv_scores,mc_ruin_rate,mc_pf_mean,mc_pf_p5,mc_sharpe_mean,mc_dd_worst,mc_n_sims,wf_avg_oos_pf,wf_oos_preserved,wf_deg_ratio,wf_n_windows,oos_sharpe,oos_pf,oos_cagr,oos_max_dd,validation_score,validation_grade,is_deployed,deployed_at,status,error_message
3560b355,v20260316_1626_c1,signal_quality,2026-03-16T16:26:38.925425,,latest,0,20,"['ema_8', 'ema_13', 'ema_20', 'ema_50', 'ema_100', 'ema_200', 'ema_x_8_20', 'ema_x_20_50', 'ema_x_50_200', 'price_vs_ema20', 'price_vs_ema50', 'price_vs_ema200', 'ema_20_slope', 'ema_50_slope', 'linreg_slope_20', 'linreg_slope_50', 'adx', 'donchian_20', 'donchian_55', 'rsi_6']",,,{},{},1378.48,3.139,15.088,0,0,0.0,0,0.6723553346565467,0.09787954915257875,"[0.7428283237775334, 0.7636796486318408, 0.7371265462009267, 0.6077203447237695, 0.5104218099486637]",0.0,15.247,11.318,3.146,-5.44,200,25.471,72.5,1.323,5,4.426,6.379,0.0,0.0,100,EXCELLENT,False,,completed,
249c906c,v20260316_2131_c1,signal_quality,2026-03-16T21:31:55.689782,,latest,0,20,"['ema_8', 'ema_13', 'ema_20', 'ema_50', 'ema_100', 'ema_200', 'ema_x_8_20', 'ema_x_20_50', 'ema_x_50_200', 'price_vs_ema20', 'price_vs_ema50', 'price_vs_ema200', 'ema_20_slope', 'ema_50_slope', 'linreg_slope_20', 'linreg_slope_50', 'adx', 'donchian_20', 'donchian_55', 'rsi_6']",,,{},{},7.38,0.193,1.058,0,0,0.0,0,0.7534226172115848,0.017973272510049775,"[0.7530595387888819, 0.7433866823857314, 0.7738517447715729, 0.7712842945302237, 0.7255308255815138]",4.3,1.069,0.796,0.184,-54.44,1000,0,0,0,0,-1.768,0.157,0.0,0.0,10,FAIL,False,,completed,
66b6290d,v20260316_2133_c2,signal_quality,2026-03-16T21:33:40.561114,,latest,0,20,"['ema_8', 'ema_13', 'ema_20', 'ema_50', 'ema_100', 'ema_200', 'ema_x_8_20', 'ema_x_20_50', 'ema_x_50_200', 'price_vs_ema20', 'price_vs_ema50', 'price_vs_ema200', 'ema_20_slope', 'ema_50_slope', 'linreg_slope_20', 'linreg_slope_50', 'adx', 'donchian_20', 'donchian_55', 'rsi_6']",,,{},{},7.38,0.193,1.058,0,0,0.0,0,0.7534226172115848,0.017973272510049775,"[0.7530595387888819, 0.7433866823857314, 0.7738517447715729, 0.7712842945302237, 0.7255308255815138]",4.3,1.069,0.796,0.184,-54.44,1000,0,0,0,0,-1.768,0.157,0.0,0.0,10,FAIL,False,,completed,
50725e15,v20260323_0023_c1,signal_quality,2026-03-23T00:23:57.657271,,latest,0,20,"['ema_8', 'ema_13', 'ema_20', 'ema_50', 'ema_100', 'ema_200', 'ema_x_8_20', 'ema_x_20_50', 'ema_x_50_200', 'price_vs_ema20', 'price_vs_ema50', 'price_vs_ema200', 'ema_20_slope', 'ema_50_slope', 'linreg_slope_20', 'linreg_slope_50', 'adx', 'donchian_20', 'donchian_55', 'rsi_6']",,,{},{},1.44,0.163,1.048,0,0,0.0,0,0.7534226172115848,0.017973272510049775,"[0.7530595387888819, 0.7433866823857314, 0.7738517447715729, 0.7712842945302237, 0.7255308255815138]",0.0,1.07,0.793,0.755,-7.44,1000,0.619,48.3,-1.544,2,-1.801,0.16,0.0,0.0,27,FAIL,False,,completed,
f096c0a6,v20260323_0025_c2,signal_quality,2026-03-23T00:25:09.267155,,latest,0,20,"['ema_8', 'ema_13', 'ema_20', 'ema_50', 'ema_100', 'ema_200', 'ema_x_8_20', 'ema_x_20_50', 'ema_x_50_200', 'price_vs_ema20', 'price_vs_ema50', 'price_vs_ema200', 'ema_20_slope', 'ema_50_slope', 'linreg_slope_20', 'linreg_slope_50', 'adx', 'donchian_20', 'donchian_55', 'rsi_6']",,,{},{},1.44,0.163,1.048,0,0,0.0,0,0.7534226172115848,0.017973272510049775,"[0.7530595387888819, 0.7433866823857314, 0.7738517447715729, 0.7712842945302237, 0.7255308255815138]",0.0,1.07,0.793,0.755,-7.44,1000,0.619,48.3,-1.544,2,-1.801,0.16,0.0,0.0,27,FAIL,False,,completed,
e1fe5c3a,v20260323_0237_c1,signal_quality,2026-03-23T02:37:27.113769,,latest,0,20,"['ema_8', 'ema_13', 'ema_20', 'ema_50', 'ema_100', 'ema_200', 'ema_x_8_20', 'ema_x_20_50', 'ema_x_50_200', 'price_vs_ema20', 'price_vs_ema50', 'price_vs_ema200', 'ema_20_slope', 'ema_50_slope', 'linreg_slope_20', 'linreg_slope_50', 'adx', 'donchian_20', 'donchian_55', 'rsi_6']",,,{},{},1.44,0.163,1.048,0,0,0.0,0,0.7534226172115848,0.017973272510049775,"[0.7530595387888819, 0.7433866823857314, 0.7738517447715729, 0.7712842945302237, 0.7255308255815138]",0.0,1.07,0.793,0.755,-7.44,1000,0.619,48.3,-1.544,2,-1.801,0.16,0.0,0.0,27,FAIL,False,,completed,
60abcb03,v20260323_0238_c2,signal_quality,2026-03-23T02:38:41.708025,,latest,0,20,"['ema_8', 'ema_13', 'ema_20', 'ema_50', 'ema_100', 'ema_200', 'ema_x_8_20', 'ema_x_20_50', 'ema_x_50_200', 'price_vs_ema20', 'price_vs_ema50', 'price_vs_ema200', 'ema_20_slope', 'ema_50_slope', 'linreg_slope_20', 'linreg_slope_50', 'adx', 'donchian_20', 'donchian_55', 'rsi_6']",,,{},{},1.44,0.163,1.048,0,0,0.0,0,0.7534226172115848,0.017973272510049775,"[0.7530595387888819, 0.7433866823857314, 0.7738517447715729, 0.7712842945302237, 0.7255308255815138]",0.0,1.07,0.793,0.755,-7.44,1000,0.619,48.3,-1.544,2,-1.801,0.16,0.0,0.0,27,FAIL,False,,completed,
ea94a92f,v20260404_1848_c1,signal_quality,2026-04-04T18:48:44.017681,,latest,0,20,"['ema_8', 'ema_13', 'ema_20', 'ema_50', 'ema_100', 'ema_200', 'ema_x_8_20', 'ema_x_20_50', 'ema_x_50_200', 'price_vs_ema20', 'price_vs_ema50', 'price_vs_ema200', 'ema_20_slope', 'ema_50_slope', 'linreg_slope_20', 'linreg_slope_50', 'adx', 'donchian_20', 'donchian_55', 'rsi_6']",,,{},{},0.33,0.153,1.045,0,0,0.0,0,0.7534226172115848,0.017973272510049775,"[0.7530595387888819, 0.7433866823857314, 0.7738517447715729, 0.7712842945302237, 0.7255308255815138]",0.0,1.067,0.791,0.715,-7.55,1000,0.619,48.5,-1.566,2,-1.801,0.16,0.0,0.0,27,FAIL,False,,completed,
1019a269,v20260404_1849_c2,signal_quality,2026-04-04T18:49:49.306219,,latest,0,20,"['ema_8', 'ema_13', 'ema_20', 'ema_50', 'ema_100', 'ema_200', 'ema_x_8_20', 'ema_x_20_50', 'ema_x_50_200', 'price_vs_ema20', 'price_vs_ema50', 'price_vs_ema200', 'ema_20_slope', 'ema_50_slope', 'linreg_slope_20', 'linreg_slope_50', 'adx', 'donchian_20', 'donchian_55', 'rsi_6']",,,{},{},0.33,0.153,1.045,0,0,0.0,0,0.7534226172115848,0.017973272510049775,"[0.7530595387888819, 0.7433866823857314, 0.7738517447715729, 0.7712842945302237, 0.7255308255815138]",0.0,1.067,0.791,0.715,-7.55,1000,0.619,48.5,-1.566,2,-1.801,0.16,0.0,0.0,27,FAIL,False,,completed,
e41e0e13,v20260404_1929_c1,signal_quality,2026-04-04T19:29:22.912939,,latest,0,20,"['ema_8', 'ema_13', 'ema_20', 'ema_50', 'ema_100', 'ema_200', 'ema_x_8_20', 'ema_x_20_50', 'ema_x_50_200', 'price_vs_ema20', 'price_vs_ema50', 'price_vs_ema200', 'ema_20_slope', 'ema_50_slope', 'linreg_slope_20', 'linreg_slope_50', 'adx', 'donchian_20', 'donchian_55', 'rsi_6']",,,{},{},0.33,0.153,1.045,0,0,0.0,0,0.7534226172115848,0.017973272510049775,"[0.7530595387888819, 0.7433866823857314, 0.7738517447715729, 0.7712842945302237, 0.7255308255815138]",0.0,1.067,0.791,0.715,-7.55,1000,0.619,48.5,-1.566,2,-1.801,0.16,0.0,0.0,27,FAIL,False,,completed,
03f8fa0e,v20260404_1930_c2,signal_quality,2026-04-04T19:30:29.349437,,latest,0,20,"['ema_8', 'ema_13', 'ema_20', 'ema_50', 'ema_100', 'ema_200', 'ema_x_8_20', 'ema_x_20_50', 'ema_x_50_200', 'price_vs_ema20', 'price_vs_ema50', 'price_vs_ema200', 'ema_20_slope', 'ema_50_slope', 'linreg_slope_20', 'linreg_slope_50', 'adx', 'donchian_20', 'donchian_55', 'rsi_6']",,,{},{},0.33,0.153,1.045,0,0,0.0,0,0.7534226172115848,0.017973272510049775,"[0.7530595387888819, 0.7433866823857314, 0.7738517447715729, 0.7712842945302237, 0.7255308255815138]",0.0,1.067,0.791,0.715,-7.55,1000,0.619,48.5,-1.566,2,-1.801,0.16,0.0,0.0,27,FAIL,False,,completed,
